"Series";"Time";"Value"
"d8de94f65ad4";"2019-11-27T22:06:49+00:00";1
"d8de94f65ad4";"2019-11-27T22:06:59+00:00";1
"d8de94f65ad4";"2019-11-27T22:07:09+00:00";1
"d8de94f65ad4";"2019-11-27T22:07:19+00:00";34
"d8de94f65ad4";"2019-11-27T22:07:29+00:00";58
"d8de94f65ad4";"2019-11-27T22:07:40+00:00";58
"d8de94f65ad4";"2019-11-27T22:07:50+00:00";58
"d8de94f65ad4";"2019-11-27T22:08:00+00:00";155
"d8de94f65ad4";"2019-11-27T22:08:10+00:00";256
"d8de94f65ad4";"2019-11-27T22:08:20+00:00";355
"d8de94f65ad4";"2019-11-27T22:08:30+00:00";456
"d8de94f65ad4";"2019-11-27T22:08:40+00:00";496
"d8de94f65ad4";"2019-11-27T22:08:50+00:00";496
"d8de94f65ad4";"2019-11-27T22:09:00+00:00";496
"d8de94f65ad4";"2019-11-27T22:09:10+00:00";560
"d8de94f65ad4";"2019-11-27T22:09:20+00:00";656
"d8de94f65ad4";"2019-11-27T22:09:30+00:00";754
"d8de94f65ad4";"2019-11-27T22:09:40+00:00";848
"d8de94f65ad4";"2019-11-27T22:09:50+00:00";947
"d8de94f65ad4";"2019-11-27T22:10:00+00:00";1043
"d8de94f65ad4";"2019-11-27T22:10:10+00:00";1140
"d8de94f65ad4";"2019-11-27T22:10:20+00:00";1236
"d8de94f65ad4";"2019-11-27T22:10:30+00:00";1329
"d8de94f65ad4";"2019-11-27T22:10:40+00:00";1424
"d8de94f65ad4";"2019-11-27T22:10:50+00:00";1521
"d8de94f65ad4";"2019-11-27T22:11:00+00:00";1621
"d8de94f65ad4";"2019-11-27T22:11:10+00:00";1719
"d8de94f65ad4";"2019-11-27T22:11:20+00:00";1817
"d8de94f65ad4";"2019-11-27T22:11:30+00:00";1910
"d8de94f65ad4";"2019-11-27T22:11:40+00:00";2005
"d8de94f65ad4";"2019-11-27T22:11:51+00:00";2103
"d8de94f65ad4";"2019-11-27T22:12:01+00:00";2199
"d8de94f65ad4";"2019-11-27T22:12:11+00:00";2296
"d8de94f65ad4";"2019-11-27T22:12:21+00:00";2395
"d8de94f65ad4";"2019-11-27T22:12:31+00:00";2493
"d8de94f65ad4";"2019-11-27T22:12:41+00:00";2590
"d8de94f65ad4";"2019-11-27T22:12:51+00:00";2689
"d8de94f65ad4";"2019-11-27T22:13:01+00:00";2786
"d8de94f65ad4";"2019-11-27T22:13:11+00:00";2882
"d8de94f65ad4";"2019-11-27T22:13:21+00:00";2981
"d8de94f65ad4";"2019-11-27T22:13:31+00:00";3079
"d8de94f65ad4";"2019-11-27T22:13:41+00:00";3175
"d8de94f65ad4";"2019-11-27T22:13:51+00:00";3270
"d8de94f65ad4";"2019-11-27T22:14:01+00:00";3368
"d8de94f65ad4";"2019-11-27T22:14:11+00:00";3463
"d8de94f65ad4";"2019-11-27T22:14:21+00:00";3560
"d8de94f65ad4";"2019-11-27T22:14:31+00:00";3657
"d8de94f65ad4";"2019-11-27T22:14:41+00:00";3754
"d8de94f65ad4";"2019-11-27T22:14:51+00:00";3850
"d8de94f65ad4";"2019-11-27T22:15:01+00:00";3945
"d8de94f65ad4";"2019-11-27T22:15:11+00:00";4041
"d8de94f65ad4";"2019-11-27T22:15:22+00:00";4139
"d8de94f65ad4";"2019-11-27T22:15:32+00:00";4237
"d8de94f65ad4";"2019-11-27T22:15:42+00:00";4332
"d8de94f65ad4";"2019-11-27T22:15:52+00:00";4426
"d8de94f65ad4";"2019-11-27T22:16:02+00:00";4521
"d8de94f65ad4";"2019-11-27T22:16:12+00:00";4614
"d8de94f65ad4";"2019-11-27T22:16:22+00:00";4709
"d8de94f65ad4";"2019-11-27T22:16:32+00:00";4805
"d8de94f65ad4";"2019-11-27T22:16:42+00:00";4901
