"Series";"Time";"Value"
"d8de94f65ad4";"2019-11-27T22:06:49+00:00";11
"d8de94f65ad4";"2019-11-27T22:06:59+00:00";11
"d8de94f65ad4";"2019-11-27T22:07:09+00:00";11
"d8de94f65ad4";"2019-11-27T22:07:19+00:00";81
"d8de94f65ad4";"2019-11-27T22:07:29+00:00";111
"d8de94f65ad4";"2019-11-27T22:07:40+00:00";111
"d8de94f65ad4";"2019-11-27T22:07:50+00:00";111
"d8de94f65ad4";"2019-11-27T22:08:00+00:00";229
"d8de94f65ad4";"2019-11-27T22:08:10+00:00";333
"d8de94f65ad4";"2019-11-27T22:08:20+00:00";445
"d8de94f65ad4";"2019-11-27T22:08:30+00:00";548
"d8de94f65ad4";"2019-11-27T22:08:40+00:00";591
"d8de94f65ad4";"2019-11-27T22:08:50+00:00";591
"d8de94f65ad4";"2019-11-27T22:09:00+00:00";591
"d8de94f65ad4";"2019-11-27T22:09:10+00:00";663
"d8de94f65ad4";"2019-11-27T22:09:20+00:00";764
"d8de94f65ad4";"2019-11-27T22:09:30+00:00";865
"d8de94f65ad4";"2019-11-27T22:09:40+00:00";968
"d8de94f65ad4";"2019-11-27T22:09:50+00:00";1070
"d8de94f65ad4";"2019-11-27T22:10:00+00:00";1171
"d8de94f65ad4";"2019-11-27T22:10:10+00:00";1273
"d8de94f65ad4";"2019-11-27T22:10:20+00:00";1371
"d8de94f65ad4";"2019-11-27T22:10:30+00:00";1478
"d8de94f65ad4";"2019-11-27T22:10:40+00:00";1580
"d8de94f65ad4";"2019-11-27T22:10:50+00:00";1687
"d8de94f65ad4";"2019-11-27T22:11:00+00:00";1790
"d8de94f65ad4";"2019-11-27T22:11:10+00:00";1891
"d8de94f65ad4";"2019-11-27T22:11:20+00:00";1998
"d8de94f65ad4";"2019-11-27T22:11:30+00:00";2098
"d8de94f65ad4";"2019-11-27T22:11:40+00:00";2199
"d8de94f65ad4";"2019-11-27T22:11:51+00:00";2306
"d8de94f65ad4";"2019-11-27T22:12:01+00:00";2403
"d8de94f65ad4";"2019-11-27T22:12:11+00:00";2502
"d8de94f65ad4";"2019-11-27T22:12:21+00:00";2605
"d8de94f65ad4";"2019-11-27T22:12:31+00:00";2711
"d8de94f65ad4";"2019-11-27T22:12:41+00:00";2815
"d8de94f65ad4";"2019-11-27T22:12:51+00:00";2925
"d8de94f65ad4";"2019-11-27T22:13:01+00:00";3029
"d8de94f65ad4";"2019-11-27T22:13:11+00:00";3128
"d8de94f65ad4";"2019-11-27T22:13:21+00:00";3231
"d8de94f65ad4";"2019-11-27T22:13:31+00:00";3332
"d8de94f65ad4";"2019-11-27T22:13:41+00:00";3429
"d8de94f65ad4";"2019-11-27T22:13:51+00:00";3531
"d8de94f65ad4";"2019-11-27T22:14:01+00:00";3632
"d8de94f65ad4";"2019-11-27T22:14:11+00:00";3736
"d8de94f65ad4";"2019-11-27T22:14:21+00:00";3838
"d8de94f65ad4";"2019-11-27T22:14:31+00:00";3942
"d8de94f65ad4";"2019-11-27T22:14:41+00:00";4039
"d8de94f65ad4";"2019-11-27T22:14:51+00:00";4145
"d8de94f65ad4";"2019-11-27T22:15:01+00:00";4243
"d8de94f65ad4";"2019-11-27T22:15:11+00:00";4347
"d8de94f65ad4";"2019-11-27T22:15:22+00:00";4448
"d8de94f65ad4";"2019-11-27T22:15:32+00:00";4554
"d8de94f65ad4";"2019-11-27T22:15:42+00:00";4658
"d8de94f65ad4";"2019-11-27T22:15:52+00:00";4759
"d8de94f65ad4";"2019-11-27T22:16:02+00:00";4866
"d8de94f65ad4";"2019-11-27T22:16:12+00:00";4963
"d8de94f65ad4";"2019-11-27T22:16:22+00:00";5062
"d8de94f65ad4";"2019-11-27T22:16:32+00:00";5164
"d8de94f65ad4";"2019-11-27T22:16:42+00:00";5266
